iter	RMSE
0	55.90032646
1	50.13124087
2	44.99914293
3	40.38121148
4	36.32267123
5	32.69410302
6	29.44855427
7	26.56444293
8	24.04071154
9	21.76548395
10	19.74653689
11	17.98446924
12	16.40221116
13	14.95626197
14	13.71014859
15	12.59832717
16	11.6195783
17	10.73035185
18	9.954703001
19	9.278470637
20	8.671147306
21	8.136991494
22	7.671202106
23	7.256380967
24	6.900013375
25	6.587165053
26	6.299165656
27	6.055441541
28	5.842835286
29	5.657422556
30	5.479463577
31	5.333934389
32	5.207939654
33	5.0913475
34	4.99609906
35	4.90842579
36	4.816916818
37	4.753091431
38	4.680455262
39	4.629074411
40	4.582035947
41	4.528998609
42	4.490640119
43	4.44991852
44	4.419731502
45	4.391896356
46	4.366102071
47	4.341777779
48	4.312687177
49	4.293976052
50	4.273238089
51	4.255518963
52	4.235406446
53	4.217362809
54	4.194190424
55	4.178167439
56	4.163783602
57	4.150225645
58	4.13980146
59	4.120926106
60	4.108321381
61	4.091617986
62	4.078994917
63	4.066008852
64	4.05582054
65	4.046230911
66	4.032292716
67	4.02160605
68	4.012005877
69	4.001986513
70	3.987174415
71	3.978063017
72	3.969848067
73	3.957580624
74	3.949410525
75	3.937149677
76	3.929801347
77	3.920051963
78	3.912929869
79	3.905676863
80	3.898138965
81	3.887977957
82	3.880084733
83	3.873643136
84	3.866240414
85	3.860128958
86	3.855108973
87	3.848947056
88	3.843601736
89	3.83425184
90	3.828498994
91	3.823597454
92	3.819686622
93	3.813656857
94	3.810950686
95	3.806051681
96	3.7997383
97	3.794976679
98	3.792495513
99	3.78842558
100	3.783866437
101	3.78065898
102	3.77668544
103	3.772688816
104	3.767962616
105	3.763424606
106	3.758714864
107	3.754014085
108	3.752134074
109	3.747409608
110	3.743625041
111	3.740903396
112	3.735918766
113	3.733591338
114	3.730165032
115	3.727150628
116	3.723667336
117	3.720061102
118	3.718654251
119	3.716297928
120	3.71366685
121	3.711238083
122	3.707688308
123	3.703171164
124	3.700283459
125	3.696424591
126	3.692882249
127	3.690044691
128	3.688835126
129	3.685122312
130	3.681985645
131	3.679319191
132	3.676945145
133	3.674335833
134	3.671174705
135	3.668113362
136	3.665757076
137	3.663727983
138	3.661899668
139	3.65934423
140	3.657559778
141	3.656203258
142	3.653298782
143	3.650797049
144	3.648772666
145	3.647244927
146	3.645966946
147	3.644008573
148	3.641734082
149	3.63952944
150	3.63768993
151	3.636909916
152	3.634841527
153	3.632488241
154	3.63047335
155	3.628855615
156	3.626978179
157	3.625282564
158	3.623655512
159	3.621937114
160	3.620103758
161	3.618224348
162	3.616793852
163	3.615233959
164	3.614580758
165	3.612847178
166	3.612072258
167	3.610503642
168	3.609025601
169	3.60770839
170	3.606082353
171	3.604629857
172	3.602520766
173	3.601248299
174	3.600364273
175	3.599212247
176	3.597888866
177	3.596473795
178	3.595098658
179	3.594280933
180	3.593296352
181	3.592451368
182	3.591198942
183	3.590322275
184	3.58875913
185	3.587555286
186	3.586665224
187	3.586057709
188	3.585268882
189	3.584375448
190	3.582815495
191	3.582258608
192	3.581374604
193	3.580310585
194	3.578844269
195	3.577675186
196	3.576726104
197	3.575866058
198	3.574597666
199	3.573077025
200	3.572042217
201	3.571549789
202	3.570435352
203	3.56880466
204	3.567736258
205	3.566732037
206	3.56605366
207	3.564672198
208	3.563650844
209	3.562793964
210	3.561858483
211	3.560850415
212	3.559657259
213	3.558350369
214	3.557274386
215	3.555942745
216	3.555375399
217	3.554247118
218	3.553521537
219	3.55263053
220	3.551628426
221	3.551157364
222	3.550362807
223	3.549654551
224	3.548760299
225	3.547568312
226	3.54670718
227	3.546042023
228	3.545124862
229	3.544289245
230	3.543521208
231	3.542600035
232	3.54219693
233	3.541252625
234	3.540422105
235	3.539316392
236	3.538475232
237	3.538075099
238	3.537093974
239	3.536436221
240	3.535585116
241	3.535181575
242	3.534450334
243	3.533606016
244	3.532739253
245	3.532160817
246	3.531602018
247	3.530696596
248	3.529984307
249	3.529437968
250	3.528751322
251	3.527878154
252	3.526809442
