iter	Passed	Remaining
0	43	43713
1	95	47841
2	175	58269
3	247	61674
4	313	62337
5	387	64275
6	461	65406
7	519	64423
8	577	63589
9	638	63182
10	702	63165
11	767	63203
12	819	62191
13	867	61104
14	919	60383
15	964	59342
16	1020	59025
17	1070	58420
18	1120	57869
19	1176	57660
20	1235	57591
21	1288	57262
22	1332	56605
23	1379	56113
24	1425	55584
25	1473	55187
26	1517	54697
27	1562	54249
28	1608	53858
29	1656	53555
30	1714	53600
31	1762	53320
32	1804	52882
33	1853	52674
34	1898	52337
35	1942	52003
36	1989	51773
37	2036	51551
38	2082	51318
39	2123	50970
40	2179	50977
41	2233	50946
42	2281	50776
43	2327	50578
44	2371	50325
45	2420	50203
46	2469	50081
47	2516	49909
48	2564	49773
49	2605	49513
50	2658	49477
51	2714	49484
52	2761	49345
53	2803	49117
54	2852	49014
55	2896	48825
56	2938	48611
57	2980	48411
58	3021	48195
59	3071	48122
60	3112	47912
61	3175	48045
62	3235	48124
63	3284	48039
64	3330	47905
65	3375	47762
66	3425	47702
67	3480	47699
68	3526	47587
69	3571	47453
70	3620	47375
71	3692	47597
72	3744	47553
73	3800	47553
74	3850	47494
75	3905	47487
76	3951	47371
77	4004	47337
78	4053	47255
79	4103	47194
80	4157	47167
81	4218	47222
82	4277	47261
83	4327	47194
84	4384	47193
85	4429	47074
86	4476	46981
87	4523	46877
88	4572	46804
89	4627	46793
90	4688	46829
91	4749	46877
92	4802	46836
93	4854	46792
94	4896	46643
95	4946	46575
96	5002	46566
97	5044	46434
98	5091	46333
99	5134	46211
100	5183	46138
101	5238	46120
102	5285	46033
103	5330	45920
104	5376	45829
105	5420	45720
106	5475	45696
107	5518	45575
108	5559	45442
109	5601	45320
110	5643	45200
111	5692	45133
112	5746	45105
113	5789	44996
114	5829	44860
115	5875	44776
116	5917	44662
117	5956	44520
118	5996	44396
119	6036	44268
120	6077	44151
121	6122	44065
122	6170	43993
123	6224	43976
124	6268	43882
125	6317	43823
126	6366	43762
127	6411	43678
128	6450	43551
129	6493	43453
130	6538	43371
131	6582	43287
132	6629	43215
133	6676	43150
134	6730	43124
135	6781	43084
136	6828	43015
137	6870	42915
138	6913	42823
139	6954	42721
140	7000	42645
141	7039	42536
142	7093	42509
143	7143	42463
144	7185	42372
145	7239	42348
146	7284	42270
147	7335	42229
148	7384	42176
149	7429	42101
150	7475	42031
151	7510	41899
152	7549	41792
153	7595	41726
154	7637	41637
155	7684	41576
156	7733	41525
157	7783	41479
158	7835	41443
159	7883	41390
160	7929	41320
161	7974	41250
162	8025	41208
163	8072	41148
164	8114	41066
165	8164	41021
166	8214	40972
167	8273	40974
168	8320	40911
169	8365	40844
170	8410	40771
171	8454	40698
172	8500	40637
173	8550	40590
174	8593	40511
175	8632	40413
176	8679	40356
177	8734	40333
178	8791	40322
179	8835	40252
180	8877	40168
181	8920	40093
182	8966	40028
183	9007	39944
184	9056	39895
185	9098	39816
186	9141	39742
187	9185	39672
188	9228	39600
189	9283	39576
190	9327	39507
191	9362	39399
192	9399	39303
193	9445	39241
194	9493	39192
195	9535	39115
196	9573	39023
197	9614	38943
198	9663	38895
199	9718	38872
200	9811	39002
201	9846	38897
202	9890	38831
203	9935	38766
204	9976	38688
205	10020	38622
206	10062	38547
207	10103	38472
208	10153	38426
209	10203	38384
210	10254	38343
211	10310	38322
212	10355	38262
213	10403	38210
214	10444	38134
215	10491	38078
216	10532	38003
217	10577	37942
218	10618	37868
219	10659	37792
220	10714	37768
221	10763	37720
222	10815	37684
223	10857	37614
224	10901	37548
225	10942	37476
226	10986	37413
227	11032	37357
228	11073	37281
229	11109	37193
230	11151	37122
231	11206	37096
232	11250	37033
233	11299	36988
234	11340	36918
235	11383	36850
236	11429	36797
237	11472	36732
238	11517	36671
239	11556	36594
240	11599	36530
241	11641	36462
242	11691	36423
243	11745	36391
244	11794	36346
245	11834	36274
246	11873	36198
247	11922	36151
248	11973	36113
249	12020	36060
250	12074	36032
251	12123	35987
252	12177	35955
253	12231	35924
254	12281	35881
255	12322	35812
256	12371	35766
257	12410	35692
258	12455	35634
259	12495	35565
260	12538	35502
261	12579	35433
262	12624	35378
263	12677	35342
264	12727	35301
265	12780	35265
266	12826	35213
267	12868	35148
268	12910	35085
269	12955	35026
270	12996	34960
271	13041	34905
272	13083	34842
273	13127	34782
274	13177	34739
275	13229	34704
276	13279	34660
277	13323	34603
278	13367	34545
279	13413	34490
280	13448	34412
281	13488	34343
282	13528	34275
283	13574	34223
284	13621	34172
285	13657	34095
286	13707	34054
287	13757	34012
288	13802	33957
289	13849	33907
290	13892	33847
291	13934	33785
292	13974	33718
293	14012	33648
294	14060	33602
295	14104	33546
296	14146	33484
297	14193	33435
298	14242	33390
299	14291	33347
300	14341	33303
301	14378	33232
302	14419	33170
303	14473	33137
304	14524	33097
305	14567	33037
306	14609	32978
307	14648	32910
308	14695	32861
309	14747	32825
310	14789	32764
311	14835	32714
312	14878	32656
313	14916	32587
314	14954	32519
315	14999	32466
316	15039	32403
317	15075	32332
318	15119	32277
319	15175	32248
320	15226	32208
321	15272	32156
322	15317	32105
323	15353	32033
324	15399	31983
325	15443	31929
326	15489	31879
327	15531	31820
328	15567	31750
329	15611	31696
330	15657	31646
331	15709	31608
332	15763	31574
333	15808	31522
334	15870	31504
335	15918	31458
336	15967	31413
337	16010	31357
338	16051	31297
339	16094	31243
340	16147	31205
341	16197	31164
342	16248	31123
